"","cam2","cam9","cam13","cam18","cam21","cam25","cam27","cam5","cam31","cam32","cam33","cam34","cam36","cam37","cam6","cam15","cam28","cam29","cam30","cam35","cam38","cam11","cam17","cam19","cam20","cam22","cam24","cam26","cam3","cam7","cam8","cam10","cam14","cam16","cam23"
"cam33",0.719298245614035,0.709949409780776,0.812893081761006,0.368421052631579,0.715404699738903,0.790836653386454,0.719611021069692,0.557360406091371,0.595176571920758,0.703061813980358,0,0.324432576769025,0.578260869565217,0.335820895522388,0.603644646924829,0.488069414316703,0.576382380506092,0.718343195266272,0.603319502074689,0.940740740740741,0.446756425948592,0.796407185628742,0.966850828729282,0.856832971800434,0.869120654396728,0.804347826086957,0.885572139303483,0.670932358318099,0.933649289099526,0.934065934065934,0.671361502347418,0.374795417348609,0.82843137254902,0.810444874274661,0.647382920110193
"cam34",0.719546742209632,0.717261904761905,0.85640266469282,0.422155688622754,0.820118343195266,0.833795013850416,0.73952779893374,0.394736842105263,0.485483870967742,0.592265193370166,0.324432576769025,0,0.677179962894249,0.381653454133635,0.481375358166189,0.364635364635365,0.49912739965096,0.624646693046919,0.475077881619938,0.961754780652418,0.535714285714286,0.827586206896552,0.977324263038549,0.92962962962963,0.922535211267606,0.811894882434302,0.925155925155925,0.76038338658147,0.952329360780065,0.960346964064436,0.798019801980198,0.43768115942029,0.835728952772074,0.889261744966443,0.690068493150685
"cam36",0.597122302158273,0.681462140992167,0.836158192090395,0.519788918205805,0.744604316546763,0.748110831234257,0.78125,0.824516129032258,0.842271293375394,0.89086127547666,0.578260869565217,0.677179962894249,0,0.63973063973064,0.808491418247516,0.741573033707865,0.750291715285881,0.868918918918919,0.853266331658291,0.88,0.604612850082372,0.601374570446735,0.802631578947368,0.633466135458167,0.670250896057348,0.80184331797235,0.770833333333333,0.566765578635015,0.89589905362776,0.891891891891892,0.509259259259259,0.576059850374065,0.888888888888889,0.713355048859935,0.820250284414107
"cam37",0.563731931668857,0.782668500687758,0.762446657183499,0.363762102351314,0.682222222222222,0.713532513181019,0.644736842105263,0.587131367292225,0.626254826254826,0.721179624664879,0.335820895522388,0.381653454133635,0.63973063973064,0,0.587870434183322,0.509469696969697,0.567027477102415,0.672149122807018,0.631067961165049,0.932203389830508,0.442691903259727,0.75748031496063,0.975806451612903,0.88235294117647,0.87800963081862,0.838046272493573,0.914179104477612,0.779735682819383,0.930470347648262,0.939675174013921,0.778571428571429,0.438926174496644,0.955719557195572,0.846390168970814,0.676206050695012
"cam6",0.701726844583987,0.648387096774194,0.74048983845753,0.686084142394822,0.603680113234253,0.680193821926105,0.574694311536417,0.593137254901961,0.673672566371681,0.662741799831791,0.603644646924829,0.481375358166189,0.808491418247516,0.587870434183322,0,0.635436583811345,0.620770128354726,0.560119811724433,0.441684665226782,0.895676046671242,0.510928961748634,0.874564459930314,0.990089197224975,0.927797833935018,0.897887323943662,0.756777691711851,0.956148713060057,0.804020100502513,0.895372233400402,0.893818181818182,0.869524697110904,0.643879173290938,0.924170616113744,0.850515463917526,0.773041474654378
"cam15",0.824800910125142,0.86508875739645,0.880577427821522,0.564803804994055,0.850687622789784,0.88375796178344,0.830417227456258,0.154405820533549,0.245576786978061,0.439233484619264,0.488069414316703,0.364635364635365,0.741573033707865,0.509469696969697,0.635436583811345,0,0.405610310841547,0.437693099897013,0.269732326698696,0.971751412429379,0.637043966323667,0.843293492695883,0.941368078175896,0.901823281907433,0.910931174089069,0.910714285714286,0.91743119266055,0.824780976220275,0.967153284671533,0.975510204081633,0.843657817109145,0.585168018539977,0.936363636363636,0.919375812743823,0.736017897091723
"cam28",0.763671875,0.775757575757576,0.554224086279209,0.677484787018256,0.833190025795357,0.868665239114918,0.846719803801349,0.468885672937771,0.528883183568678,0.640037593984962,0.576382380506092,0.49912739965096,0.750291715285881,0.567027477102415,0.620770128354726,0.405610310841547,0,0.422137038811691,0.540574282147316,0.459817729908865,0.701812191103789,0.870824053452116,0.965744400527009,0.902097902097902,0.871331828442438,0.671469740634006,0.949937421777222,0.826271186440678,0.482675261885576,0.537777777777778,0.842041312272175,0.587301587301587,0.977639751552795,0.722100656455142,0.746971736204576
"cam29",0.831208257437766,0.704897706137632,0.663176265270506,0.768800497203232,0.827547592385218,0.905138339920949,0.815439219165927,0.365586034912718,0.254470426409904,0.304252998909487,0.718343195266272,0.624646693046919,0.868918918918919,0.672149122807018,0.560119811724433,0.437693099897013,0.422137038811691,0,0.279101123595506,0.73551912568306,0.788786064235166,0.904010519395135,0.984081041968162,0.935178933153275,0.92312789927104,0.733173076923077,0.978902953586498,0.863433312061264,0.734978540772532,0.723112128146453,0.905947441217151,0.744941753525445,0.946778711484594,0.837345478204294,0.809388335704125
"cam30",0.912220309810671,0.716312056737589,0.894853348090758,0.738434163701068,0.875480399692544,0.906432748538012,0.853024307518372,0.172368421052632,0.259433962264151,0.363636363636364,0.603319502074689,0.475077881619938,0.853266331658291,0.631067961165049,0.441684665226782,0.269732326698696,0.540574282147316,0.279101123595506,0,0.977695167286245,0.747041420118343,0.942084942084942,0.979933110367893,0.937751004016064,0.93359375,0.860899067005937,0.959445037353255,0.835489833641405,0.962291515591008,0.969912905779889,0.889698231009365,0.680628272251309,0.919406150583245,0.925855513307985,0.773399014778325
"cam35",0.752281616688396,0.762619372442019,0.358356940509915,0.96159122085048,0.863134657836645,0.933566433566434,0.933042212518195,0.985777777777778,0.981552651806303,0.98610368786745,0.940740740740741,0.961754780652418,0.88,0.932203389830508,0.895676046671242,0.971751412429379,0.459817729908865,0.73551912568306,0.977695167286245,0,0.931034482758621,0.890795631825273,0.99601593625498,0.926788685524126,0.875993640699523,0.612244897959184,0.955719557195572,0.898107714701601,0.0894308943089431,0.368663594470046,0.886925795053004,0.864181091877497,0.923357664233577,0.671232876712329,0.946297803091945
