,filename,modified,created,filetime,week,camera
29,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder3/RCNX0127.JPG,Sat Jul  2 12:00:00 2022,Fri Oct 21 07:29:30 2022,02-07-2022-12:00,26,cam34
30,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder3/RCNX0155.JPG,Wed Jul  6 12:00:00 2022,Fri Oct 21 07:30:30 2022,06-07-2022-12:00,27,cam34
31,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder3/RCNX0210.JPG,Thu Jul 14 11:00:00 2022,Fri Oct 21 07:28:14 2022,14-07-2022-11:00,28,cam34
32,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder3/RCNX0275.JPG,Sat Jul 23 13:00:00 2022,Fri Oct 21 07:29:02 2022,23-07-2022-13:00,29,cam34
33,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder3/RCNX0305.JPG,Thu Jul 28 08:00:00 2022,Fri Oct 21 07:28:58 2022,28-07-2022-08:00,30,cam34
34,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0017.JPG,Sat Aug  6 07:00:00 2022,Fri Oct 21 07:31:01 2022,06-08-2022-07:00,31,cam34
35,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0054.JPG,Thu Aug 11 09:00:00 2022,Fri Oct 21 07:31:17 2022,11-08-2022-09:00,32,cam34
36,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0103.JPG,Thu Aug 18 09:00:00 2022,Fri Oct 21 07:31:40 2022,18-08-2022-09:00,33,cam34
37,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0137.JPG,Tue Aug 23 08:00:00 2022,Fri Oct 21 07:31:54 2022,23-08-2022-08:00,34,cam34
38,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0183.JPG,Mon Aug 29 12:00:00 2022,Fri Oct 21 07:32:18 2022,29-08-2022-12:00,35,cam34
39,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0267.JPG,Sat Sep 10 12:00:00 2022,Fri Oct 21 07:32:50 2022,10-09-2022-12:00,36,cam34
40,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0285.JPG,Tue Sep 13 09:00:00 2022,Fri Oct 21 07:32:57 2022,13-09-2022-09:00,37,cam34
41,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0323.JPG,Sun Sep 18 12:00:00 2022,Fri Oct 21 07:33:14 2022,18-09-2022-12:00,38,cam34
42,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0382.JPG,Tue Sep 27 08:00:00 2022,Fri Oct 21 07:33:38 2022,27-09-2022-08:00,39,cam34
43,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam34/cam34_folder4/RCNX0419.JPG,Sun Oct  2 10:00:00 2022,Fri Oct 21 07:33:53 2022,02-10-2022-10:00,40,cam34
44,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder1/RCNX0108.JPG,Tue May 17 16:00:00 2022,Thu Oct 20 18:45:02 2022,17-05-2022-16:00,20,cam14
45,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder3/RCNX0006.JPG,Thu Jun 16 07:00:00 2022,Thu Oct 20 18:49:08 2022,16-06-2022-07:00,24,cam14
46,/content/drive/MyDrive/Calanda-Drive/Trail Cam Photos/cam14/cam14_folder3/RCNX0019.JPG,Mon Jun 20 10:00:00 2022,Thu Oct 20 18:49:12 2022,20-06-2022-10:00,25,cam14
